               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098718,            0.028141,             0.05229,            0.016932,             0.15632,            0.011857,           0.0023892,            0.067769,            0.017444,            0.042391,             0.00039,             0.00039,             0.09649
                   1,            0.071808,            0.027554,            0.042492,            0.091781,             0.21636,            0.090921,            0.026546,            0.058004,            0.014593,            0.036859,          0.00078913,          0.00078913,            0.092889
                   2,             0.06225,            0.026173,            0.040132,            0.082545,             0.27406,             0.12829,            0.049268,            0.053391,            0.012333,            0.034331,           0.0011848,           0.0011848,            0.089285
                   3,            0.060898,            0.021515,            0.037793,             0.29431,             0.21361,             0.15078,            0.067013,            0.051739,            0.010116,            0.031364,           0.0015744,           0.0015744,            0.085674
                   4,            0.058664,            0.020745,            0.037287,             0.14794,             0.44144,             0.18832,            0.091686,            0.051273,           0.0091086,            0.028345,           0.0019553,           0.0019553,            0.082055
                   5,            0.047623,            0.019501,            0.031201,             0.51377,             0.27687,             0.22596,             0.10422,            0.051582,           0.0088187,             0.02743,           0.0023251,           0.0023251,            0.078425
                   6,            0.058151,            0.018586,             0.03407,             0.51493,             0.31872,             0.24998,             0.10919,            0.053547,           0.0076348,             0.02417,           0.0026815,           0.0026815,            0.074781
                   7,            0.054383,            0.018981,            0.031556,             0.55732,             0.39546,             0.32466,             0.16387,            0.045874,           0.0076917,            0.023307,            0.003022,            0.003022,            0.071122
                   8,            0.052064,            0.017686,            0.027066,              0.2566,             0.64252,             0.35581,             0.18244,            0.047389,           0.0072929,            0.020249,           0.0033445,           0.0033445,            0.067445
                   9,            0.052327,            0.017582,            0.026229,             0.29697,             0.69924,             0.48106,             0.30081,            0.046846,           0.0069638,            0.018904,           0.0036471,           0.0036471,            0.063747
                  10,            0.051209,            0.017212,            0.029507,             0.29131,             0.59796,             0.41757,             0.21425,            0.046892,           0.0070008,            0.020083,           0.0039278,           0.0039278,            0.060028
                  11,            0.053593,            0.016709,            0.027621,              0.4298,             0.58639,              0.4633,             0.28472,            0.044374,           0.0070362,            0.018376,            0.004185,            0.004185,            0.056285
                  12,            0.052759,            0.017221,             0.02359,             0.57258,             0.55328,             0.53777,             0.29877,            0.046374,           0.0064436,            0.015328,           0.0044173,           0.0044173,            0.052517
                  13,            0.051269,            0.016271,             0.02482,             0.48177,             0.53684,             0.50391,             0.29289,            0.045333,           0.0067241,            0.015067,           0.0046232,           0.0046232,            0.048723
                  14,            0.052299,            0.015749,            0.024552,             0.52024,             0.54787,             0.49946,             0.28936,            0.044229,            0.006949,              0.0155,           0.0048018,           0.0048018,            0.044902
                  15,            0.048108,            0.016523,            0.022892,             0.49987,             0.52744,             0.50664,             0.32071,            0.042648,           0.0072441,              0.0157,           0.0049523,           0.0049523,            0.041052
                  16,            0.048915,            0.016971,            0.022912,             0.60585,             0.57124,             0.62041,             0.37244,            0.044187,           0.0066654,            0.013194,           0.0050739,           0.0050739,            0.037174
                  17,            0.047541,            0.016395,            0.022846,             0.63837,             0.50862,             0.53721,             0.32343,             0.04637,           0.0069979,            0.017085,           0.0051665,           0.0051665,            0.033267
                  18,            0.052055,            0.016578,            0.022117,             0.66771,             0.52168,             0.60432,             0.31489,            0.048499,           0.0066639,            0.012953,           0.0052299,           0.0052299,             0.02933
                  19,            0.049604,            0.016313,            0.022814,             0.49655,             0.53427,             0.50169,             0.26767,            0.047158,           0.0075357,            0.016246,           0.0052643,           0.0052643,            0.025364
                  20,            0.052656,            0.016801,            0.023114,              0.6213,             0.55295,             0.58557,             0.28494,            0.046735,           0.0073018,            0.011815,           0.0052701,           0.0052701,             0.02137
                  21,            0.053795,            0.016782,            0.023032,             0.67149,             0.46005,             0.54524,             0.30984,            0.045459,           0.0077144,            0.010297,            0.005248,            0.005248,            0.017348
                  22,            0.048536,            0.016702,            0.020717,             0.69487,             0.66417,             0.67116,             0.39618,            0.044486,           0.0067811,            0.010153,           0.0051988,           0.0051988,            0.013299
                  23,            0.050527,            0.015989,            0.017902,             0.53448,             0.57323,             0.57666,             0.32713,            0.048009,           0.0076253,            0.011703,           0.0051239,           0.0051239,           0.0092239
                  24,            0.043927,            0.017224,            0.018544,             0.63617,             0.48038,             0.56883,             0.31148,             0.04502,           0.0076209,            0.014407,           0.0050246,           0.0050246,           0.0051246
                  25,            0.047604,            0.016603,            0.021591,             0.64287,             0.61579,             0.61851,             0.35278,            0.045943,           0.0076941,            0.014551,           0.0047186,           0.0047186,           0.0047186
                  26,            0.048842,            0.016844,            0.019584,             0.69426,             0.63264,             0.66695,              0.4034,            0.044859,           0.0074804,            0.010663,           0.0047186,           0.0047186,           0.0047186
                  27,            0.050689,            0.016344,            0.019591,             0.66219,             0.53516,             0.62907,             0.39667,             0.04385,           0.0071702,             0.01266,           0.0044114,           0.0044114,           0.0044114
                  28,            0.044899,            0.016671,            0.020382,             0.67803,             0.58474,             0.64531,             0.38373,            0.042696,            0.007131,            0.010755,           0.0041094,           0.0041094,           0.0041094
                  29,             0.04651,            0.017215,            0.019799,             0.71041,             0.63021,             0.67803,             0.41448,            0.042499,           0.0069848,           0.0095665,           0.0038143,           0.0038143,           0.0038143
                  30,            0.044473,            0.016839,            0.019025,             0.75504,             0.59432,             0.70764,              0.4381,            0.042733,            0.006876,           0.0094147,           0.0035273,           0.0035273,           0.0035273
                  31,            0.047572,            0.016099,            0.017153,             0.71569,             0.68301,             0.74561,             0.49481,              0.0401,           0.0066893,            0.007159,             0.00325,             0.00325,             0.00325
                  32,            0.041086,             0.01546,             0.01614,             0.77906,             0.75141,             0.80707,             0.53708,            0.038815,           0.0065544,           0.0057454,           0.0029836,           0.0029836,           0.0029836
                  33,            0.041235,            0.015824,            0.016416,             0.71148,             0.68506,             0.70008,             0.45753,            0.039134,           0.0069707,           0.0071091,           0.0027295,           0.0027295,           0.0027295
                  34,            0.042178,            0.015575,            0.016257,             0.80154,             0.73305,             0.77369,             0.50138,            0.040913,           0.0064325,           0.0060705,           0.0024889,           0.0024889,           0.0024889
                  35,            0.041266,            0.016106,            0.014862,             0.80318,              0.8043,              0.8462,             0.59276,            0.036466,           0.0059336,           0.0042554,            0.002263,            0.002263,            0.002263
                  36,            0.039452,             0.01529,            0.012609,             0.82337,             0.82405,             0.85799,             0.61215,            0.035395,           0.0059063,           0.0044072,           0.0020528,           0.0020528,           0.0020528
                  37,            0.036868,            0.014743,            0.013303,             0.85948,             0.82328,             0.87969,             0.64654,            0.034944,           0.0055856,           0.0035887,           0.0018594,           0.0018594,           0.0018594
                  38,            0.040186,            0.015309,            0.014188,             0.86475,             0.81037,             0.87863,             0.64421,            0.034678,           0.0056438,           0.0029369,           0.0016838,           0.0016838,           0.0016838
                  39,            0.040135,            0.014417,            0.011689,             0.91691,             0.83443,             0.90432,             0.68198,            0.033663,           0.0053265,           0.0026189,           0.0015267,           0.0015267,           0.0015267
                  40,            0.036626,            0.014719,            0.013258,             0.89814,             0.86496,             0.91349,             0.68789,            0.032502,           0.0052999,           0.0022399,            0.001389,            0.001389,            0.001389
                  41,            0.035514,            0.015002,            0.010421,              0.8907,              0.8743,             0.91603,             0.69108,            0.030683,           0.0052585,           0.0021817,           0.0012714,           0.0012714,           0.0012714
                  42,            0.035132,            0.014774,            0.012671,             0.91408,             0.86467,             0.92163,             0.70728,            0.030818,           0.0050215,           0.0020365,           0.0011743,           0.0011743,           0.0011743
                  43,            0.035234,            0.014441,            0.010112,             0.88449,             0.89713,             0.92115,             0.71218,             0.02978,           0.0049791,           0.0019736,           0.0010983,           0.0010983,           0.0010983
                  44,            0.037863,            0.013734,           0.0094201,              0.9081,              0.8692,             0.92013,              0.7231,            0.029488,             0.00491,           0.0019071,           0.0010438,           0.0010438,           0.0010438
